[2025-09-18T10:39:39.555+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2732, completion-tokens, 140, total-tokens, 2872, cost-ms, 4482, requestId, 79236fb6-0847-4329-9bc8-1c6ad1f40701
[2025-09-18T10:39:44.062+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2782, completion-tokens, 87, total-tokens, 2869, cost-ms, 3131, requestId, 8753298c-06f2-49ec-870e-74386ec28161
[2025-09-18T10:39:48.207+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2733, completion-tokens, 145, total-tokens, 2878, cost-ms, 3747, requestId, fa6d36a8-da7d-4765-95ff-89a4e1e3905b
[2025-09-18T10:39:52.474+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2785, completion-tokens, 80, total-tokens, 2865, cost-ms, 2905, requestId, 1f3b2014-64b6-41ce-8f83-a1bfd4a3c6b4
[2025-09-18T10:39:59.601+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2734, completion-tokens, 142, total-tokens, 2876, cost-ms, 6725, requestId, 139da35e-7010-4b45-beb0-dc8af49e1813
[2025-09-18T10:40:07.182+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2729, completion-tokens, 140, total-tokens, 2869, cost-ms, 5505, requestId, 8565b830-e1c2-42b1-8cab-52df34a6eeaf
[2025-09-18T10:40:11.193+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1520, completion-tokens, 41, total-tokens, 1561, cost-ms, 2035, requestId, 0f0798a4-0478-480b-831a-eee4a1a46e4c
[2025-09-18T10:40:15.532+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1523, completion-tokens, 71, total-tokens, 1594, cost-ms, 2330, requestId, 704526cf-08b7-4ad1-9820-726cb8c4efe7
[2025-09-18T10:40:19.859+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1519, completion-tokens, 46, total-tokens, 1565, cost-ms, 3234, requestId, e99b0a8a-647a-4c03-a83b-6661c54444cc
[2025-09-18T10:40:23.000+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1662, completion-tokens, 57, total-tokens, 1719, cost-ms, 2137, requestId, 5fd41166-66ed-4111-b3fa-49808d8714f9
[2025-09-18T10:40:25.654+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1524, completion-tokens, 44, total-tokens, 1568, cost-ms, 2247, requestId, 75be46b7-e613-407c-bff2-4f8679129782
[2025-09-18T10:40:30.478+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1521, completion-tokens, 39, total-tokens, 1560, cost-ms, 3913, requestId, 6068a844-bf6c-4ba2-a040-8f9f314c19b5
